bnti,AI,Altitude,LON,LAT,SOC,N,BD,Ph,NDVI,SAND,
5.802957217,0.123361507,1870,100.75,39.2,6.774999976,1.550000012,1.423677686,8.264979339,0.106213041,48.95206612,D
5.941935272,0.123361507,1870,100.75,39.2,6.774999976,1.550000012,1.423677686,8.264979339,0.106213041,48.95206612,D
5.851989427,0.123361507,1870,100.75,39.2,6.774999976,1.550000012,1.423677686,8.264979339,0.106213041,48.95206612,D
5.09139738,0.399268367,2649,101.8833,35.9667,49.057165,3.874598399,1.128647727,7.983114153,0.351904362,29.32352712,D
5.034904556,0.399268367,2649,101.8833,35.9667,49.057165,3.874598399,1.128647727,7.983114153,0.351904362,29.32352712,D
5.623590954,0.399268367,2649,101.8833,35.9667,49.057165,3.874598399,1.128647727,7.983114153,0.351904362,29.32352712,D
4.710035824,0.437136272,2979,102.7833,37.1833,54.53541177,4.276198496,1.102936583,7.920340909,0.385317385,34.5787061,D
4.36289943,0.437136272,2979,102.7833,37.1833,54.53541177,4.276198496,1.102936583,7.920340909,0.385317385,34.5787061,D
4.036011839,0.437136272,2979,102.7833,37.1833,54.53541177,4.276198496,1.102936583,7.920340909,0.385317385,34.5787061,D
3.889501938,1.087108396,497,106.8333,31.32,36.01487996,3.550399952,1.28011157,6.091466942,0.578147829,28.9041374,W
6.203750746,1.087108396,497,106.8333,31.32,36.01487996,3.550399952,1.28011157,6.091466942,0.578147829,28.9041374,W
6.30777964,1.087108396,497,106.8333,31.32,36.01487996,3.550399952,1.28011157,6.091466942,0.578147829,28.9041374,W
6.083577282,1.087108396,497,106.8333,31.32,36.01487996,3.550399952,1.28011157,6.091466942,0.578147829,28.9041374,W
6.340004091,0.155517194,1439,111.895,41.7789,12.70583979,2.202880045,1.408681818,8.148863636,0.252330422,53.10819861,D
6.130026538,0.155517194,1439,111.895,41.7789,12.70583979,2.202880045,1.408681818,8.148863636,0.252330422,53.10819861,D
6.084240034,0.155517194,1439,111.895,41.7789,12.70583979,2.202880045,1.408681818,8.148863636,0.252330422,53.10819861,D
5.972823814,0.155517194,1439,111.895,41.7789,12.70583979,2.202880045,1.408681818,8.148863636,0.252330422,53.10819861,D
6.073642669,0.155517194,1439,111.895,41.7789,12.70583979,2.202880045,1.408681818,8.148863636,0.252330422,53.10819861,D
6.010587745,0.155517194,1439,111.895,41.7789,12.70583979,2.202880045,1.408681818,8.148863636,0.252330422,53.10819861,D
5.909740053,0.155517194,1439,111.895,41.7789,12.70583979,2.202880045,1.408681818,8.148863636,0.252330422,53.10819861,D
5.487192866,0.155517194,1439,111.895,41.7789,12.70583979,2.202880045,1.408681818,8.148863636,0.252330422,53.10819861,D
6.139327569,0.155517194,1439,111.895,41.7789,12.70583979,2.202880045,1.408681818,8.148863636,0.252330422,53.10819861,D
6.366327665,0.071069784,1888,97.930497,39.838783,8.609131531,1.402457794,1.400747965,8.051382955,0.069991305,41.58232714,D
5.907802786,0.085735941,2172,97.788113,39.762238,13.3669091,1.992875271,1.346354921,8.061634091,0.099182606,43.96418626,D
6.273521656,0.169332324,3173,97.702177,39.605533,21.26698428,1.91639598,1.176346247,7.60121646,0.185247824,44.58728042,D
6.339744915,0.196189135,3565,97.68075,39.476482,28.13822031,2.622689054,1.192243496,7.577170455,0.166356519,42.06138918,D
5.795582025,0.271452008,4229,97.651752,39.363582,36.53618138,3.247419537,1.216007779,7.418093182,0.139443472,40.30407907,D
6.031554089,0.198826025,3403,97.880003,39.309462,19.90534288,2.252869297,1.159267803,7.680071807,0.140986949,42.60499183,D
5.729067965,0.243705832,3420,98.176408,39.11318,27.20024114,2.491840008,1.17426577,7.476291698,0.182004347,41.06764096,D
5.606027746,0.35045681,3351,99.578432,38.433893,63.03528967,3.969347947,1.14163614,7.603257237,0.35339129,42.39645863,D
6.078870707,0.354809082,3245,99.72065,38.361722,46.31627086,3.700000048,1.094747001,7.694210142,0.301517397,42.21484929,D
5.162600593,0.357192021,3141,99.851733,38.289237,35.34408437,3.329513396,1.108211202,7.716690311,0.28048262,41.4187122,D
4.739105031,0.355389786,3088,99.995093,38.232072,56.41670407,3.81157332,1.116842727,7.511971144,0.287130445,42.31704937,D
5.067735378,0.334656265,2837,100.104153,38.222858,37.60803954,3.248428059,1.115623592,7.631215771,0.254243493,37.67143699,D
4.988534216,0.361812754,3044,100.365418,38.082083,50.64554648,3.665003998,1.141508716,7.627152974,0.328973919,43.33194725,D
4.846707723,0.725644767,3593,101.8833,33.65,71.74239999,4.349600143,1.146,6.904465393,0.485052168,29.00959194,W
5.034110156,0.725644767,3593,101.8833,33.65,71.74239999,4.349600143,1.146,6.904465393,0.485052168,29.00959194,W
4.226451782,0.725644767,3593,101.8833,33.65,71.74239999,4.349600143,1.146,6.904465393,0.485052168,29.00959194,W
4.12387227,0.725644767,3593,101.8833,33.65,71.74239999,4.349600143,1.146,6.904465393,0.485052168,29.00959194,W
4.454177261,0.725644767,3593,101.8833,33.65,71.74239999,4.349600143,1.146,6.904465393,0.485052168,29.00959194,W
4.204561133,0.725644767,3593,101.8833,33.65,71.74239999,4.349600143,1.146,6.904465393,0.485052168,29.00959194,W
6.11515379,0.725644767,3593,101.8833,33.65,71.74239999,4.349600143,1.146,6.904465393,0.485052168,29.00959194,W
5.958887373,0.725644767,3593,101.8833,33.65,71.74239999,4.349600143,1.146,6.904465393,0.485052168,29.00959194,W
6.14252342,0.725644767,3593,101.8833,33.65,71.74239999,4.349600143,1.146,6.904465393,0.485052168,29.00959194,W
4.625300905,0.725644767,3593,101.8833,33.65,71.74239999,4.349600143,1.146,6.904465393,0.485052168,29.00959194,W
4.782111973,0.725644767,3593,101.8833,33.65,71.74239999,4.349600143,1.146,6.904465393,0.485052168,29.00959194,W
4.203607186,0.725644767,3593,101.8833,33.65,71.74239999,4.349600143,1.146,6.904465393,0.485052168,29.00959194,W
3.99689141,0.725644767,3593,101.8833,33.65,71.74239999,4.349600143,1.146,6.904465393,0.485052168,29.00959194,W
3.677360797,0.725644767,3593,101.8833,33.65,71.74239999,4.349600143,1.146,6.904465393,0.485052168,29.00959194,W
4.774196411,0.725644767,3593,101.8833,33.65,71.74239999,4.349600143,1.146,6.904465393,0.485052168,29.00959194,W
4.841159182,0.725644767,3593,101.8833,33.65,71.74239999,4.349600143,1.146,6.904465393,0.485052168,29.00959194,W
4.405454514,1.126388432,4376,101.875,29.83,94.23500214,7.900000095,1.074375,5.353125,0.086347826,38.784375,W
5.216163648,1.126388432,4376,101.875,29.83,94.23500214,7.900000095,1.074375,5.353125,0.086347826,38.784375,W
4.915885802,1.126388432,4376,101.875,29.83,94.23500214,7.900000095,1.074375,5.353125,0.086347826,38.784375,W
4.851424983,1.126388432,4376,101.875,29.83,94.23500214,7.900000095,1.074375,5.353125,0.086347826,38.784375,W
3.876615464,1.126388432,4376,101.875,29.83,94.23500214,7.900000095,1.074375,5.353125,0.086347826,38.784375,W
4.159362148,1.126388432,4376,101.875,29.83,94.23500214,7.900000095,1.074375,5.353125,0.086347826,38.784375,W
3.877236802,1.126388432,4376,101.875,29.83,94.23500214,7.900000095,1.074375,5.353125,0.086347826,38.784375,W
4.499346962,1.126388432,4376,101.875,29.83,94.23500214,7.900000095,1.074375,5.353125,0.086347826,38.784375,W
3.877923383,1.126388432,4376,101.875,29.83,94.23500214,7.900000095,1.074375,5.353125,0.086347826,38.784375,W
3.292138628,1.126388432,4376,101.875,29.83,94.23500214,7.900000095,1.074375,5.353125,0.086347826,38.784375,W
3.354235646,1.126388432,4376,101.875,29.83,94.23500214,7.900000095,1.074375,5.353125,0.086347826,38.784375,W
4.52087478,1.126388432,4376,101.875,29.83,94.23500214,7.900000095,1.074375,5.353125,0.086347826,38.784375,W
4.444443497,1.126388432,4376,101.875,29.83,94.23500214,7.900000095,1.074375,5.353125,0.086347826,38.784375,W
3.772570774,1.126388432,4376,101.875,29.83,94.23500214,7.900000095,1.074375,5.353125,0.086347826,38.784375,W
3.568495348,1.126388432,4376,101.875,29.83,94.23500214,7.900000095,1.074375,5.353125,0.086347826,38.784375,W
3.664435566,1.126388432,4376,101.875,29.83,94.23500214,7.900000095,1.074375,5.353125,0.086347826,38.784375,W
3.638848278,1.126388432,4376,101.875,29.83,94.23500214,7.900000095,1.074375,5.353125,0.086347826,38.784375,W
3.990833468,1.126388432,4376,101.875,29.83,94.23500214,7.900000095,1.074375,5.353125,0.086347826,38.784375,W
3.140402827,1.126388432,4376,101.875,29.83,94.23500214,7.900000095,1.074375,5.353125,0.086347826,38.784375,W
4.352233172,1.126388432,4376,101.875,29.83,94.23500214,7.900000095,1.074375,5.353125,0.086347826,38.784375,W
